KG.Code;Katastralgemeinde;EZ;PLZ;Straße;ON;Gst.;Gst.Fl.;ErwArt;Erwerbsdatum;Widmung;Bauklasse;Gebäudehöhe;Bauweise;Zusatz;Schutzzone;Wohnzone;öZ;Bausperre;seit/bis;zuordnung;Geschoße;parz.;VeräußererCode;Erwerbercode;Zähler;Nenner;BJ;TZ;Kaufpreis ;/m² Gfl.;AbbruchfixEU;m³ Abbruch;AbbruchkostEU;FreimachfixEU;Freimachfläche;FreimachkostEU;Baureifgest;% Widmung;Baurecht;Bis;auf EZ;Stammeinlage;sonst_wid;sonst_wid_prz;ber. Kaufpreis;Bauzins
01617;Strebersdorf;1417;1210;Mühlweg;13;752/16;755;Kaufvertrag;13.10.2021;W;I;7,5;o gk;;FALSCH;FALSCH;FALSCH;FALSCH;;Abbruchobjekt;2;J;9;8;1;1;;5515/21;750000;993,3775;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;750000;
01607;Groß Jedlersdorf II;193;1210;Bahnsteggasse;4;408;510;Kaufvertrag;13.09.2021;W;III;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;Mietwohnhaus voll/tw. vermietet;3;J;9;8;1;1;;5415/21;1250000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;1250000;
01209;Ober St.Veit;3570;1130;Jennerplatz;34/20;938/3;456;Kaufvertrag;10.08.2021;GS;;;;80 m², 20%;FALSCH;FALSCH;FALSCH;FALSCH;;Abbruchobjekt;;J;9;9;1;1;;2737/21;480000;1052,632;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;480000;
01207;Lainz;405;1130;Sebastian-Brunner-Gasse;6;8/23;523;Kaufvertrag;30.12.2020;W;I;;o;Schutzzone;FALSCH;FALSCH;FALSCH;FALSCH;;Abbruchobjekt;1;J;9;8;1;1;1890;2697/21;1600000;3059,273;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;1600000;
01101;Favoriten;3831;1100;Laxenburger Straße;2C -2 D;2044/19;12768;Kaufvertrag;04.11.2020;W;VI;22;g;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;J;7;3;1;1;;1563/21;15000000;1174,812;0;0;0;0;0;0;FALSCH;30;FALSCH;;;FALSCH;W  V  22 g , Wi g;40 ,30;15000000;
01101;Favoriten;3827;1100;Laxenburger Straße;2 C;2044/17;1145;Kaufvertrag;21.04.2021;GS;I;7,5;g;;FALSCH;FALSCH;FALSCH;FALSCH;;Sonstiges;;J;8;9;1;1;;2289/21;1925000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;1925000;
01201;Auhof;932;1130;Keplingergasse;10;2707;390;Kaufvertrag;17.06.2021;W;I;6,5;gk;;FALSCH;FALSCH;FALSCH;FALSCH;;Ein-, Zweifamilienhaus;2;J;9;9;1;1;;2546/21;870000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;870000;
01213;Speising;135;1130;Speisinger Straße;29;273/5;436;Kaufvertrag;05.10.2021;W;I;7,5;g;;FALSCH;FALSCH;FALSCH;FALSCH;;Abbruchobjekt;2;J;9;8;1;1;;2491/21;1721000;3947,248;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;1721000;
01515;Weinhaus;154;1180;Edmund-Weiß-Gasse;5;87/2;542;Kaufvertrag;10.03.2022;W;II;10,5;gk;Schutzzone;FALSCH;FALSCH;FALSCH;FALSCH;;Mietwohnhaus voll/tw. vermietet;4;J;8;9;1;1;1908;1542/22;4600000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;4600000;
01514;Währing;1382;1180;Semperstraße;47;482/7;567;Kaufvertrag;04.03.2022;W;III;14,5;g;;FALSCH;FALSCH;FALSCH;FALSCH;;Mietwohnhaus voll/tw. vermietet;4;J;8;8;1;1;1894;1587/22;6650000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;6650000;
01514;Währing;1256;1180;Hasenauerstraße;9;1256;1226;Kaufvertrag;13.04.2022;W;II;10,5;o;Wohn- und Schutzzone;FALSCH;FALSCH;FALSCH;FALSCH;;Villa;2;J;8;9;1;1;;2395/22;3000000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;3000000;
01514;Währing;268;1180;Weimarer Straße;52;912;498;Kaufvertrag;05.05.2022;W;II;10,5;gk;Wohn- und Schutzzone;FALSCH;FALSCH;FALSCH;FALSCH;;Villa;3;J;9;8;1;1;1873;2626/22;3520000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;3520000;
01606;Groß Jedlersdorf I;2432;1210;Schwanngasse;9;572/51;579;Kaufvertrag;14.09.2022;W;I;6,5;ogk;;FALSCH;FALSCH;FALSCH;FALSCH;;Abbruchobjekt;;J;9;8;1;1;;4378/22;580000;1001,727;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;580000;
01660;Kagran;4518;1220;Breitenleer Straße;58b/11;611/11;309;Kaufvertrag;27.09.2022;Eklw;;;;;FALSCH;FALSCH;FALSCH;FALSCH;;Ein-, Zweifamilienhaus;2;J;8;9;1;1;;7045/22;590000;;0;0;0;0;0;0;FALSCH;100;WAHR;31.12.2117;4474;FALSCH;;;590000;
01652;Breitenlee;231;1220;;;284;5808;Kaufvertrag;06.07.2022;L;;;;Bausperre § 8 (1);FALSCH;FALSCH;FALSCH;WAHR;;Landwirtsch. Nutzung;;;9;8;1;1;;7220/22;278930,4;48,02514;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;278930;
01654;Eßling;4366;1220;Kermaunerweg;9;315/3;1058;Kaufvertrag;27.07.2022;W;I;6,5;ogk;;FALSCH;FALSCH;FALSCH;FALSCH;;Abbruchobjekt;;J;9;8;1;1;;5985/22;1350000;1275,992;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;1350000;
01405;Ottakring;1392;1160;Roterdstraße;13;515/1;169;Kaufvertrag;04.02.2022;W;II;10,5;g;;FALSCH;FALSCH;FALSCH;FALSCH;;Ein-, Zweifamilienhaus;5;J;8;9;1;1;;892/22;1450000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;1450000;
01405;Ottakring;1642;1160;Thaliastraße;129;1658/4;324;Kaufvertrag;11.11.2021;GB;III;;g;tw. Schutzzone;FALSCH;FALSCH;FALSCH;FALSCH;;Mietwohnhaus voll/tw. vermietet;4;J;9;8;1;1;;6839/21;1800000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;1800000;
01405;Ottakring;1278;1160;Schellhammergasse;19;2286/1;450;Kaufvertrag;21.12.2021;W;III;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;Mietwohnhaus voll/tw. vermietet;3;J;9;8;1;1;;2138/22;1926000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;1926000;
01405;Ottakring;1413;1160;Wattgasse;6;1390;617;Kaufvertrag;10.02.2020;GB;III;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;Mietwohnhaus voll/tw. vermietet;;J;8;8;1;1;;2877/20;2840860;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;2840860;
01405;Ottakring;1413;1160;Wattgasse;6;1390;617;Kaufvertrag;28.05.2021;GB;III;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;Mietwohnhaus voll/tw. vermietet;;J;8;8;1;1;;412/22;3875000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;3875000;
01103;Kaiserebersdorf;1666;1110;Lichnowskygasse;26;1527/3;6719;Kaufvertrag;26.09.2022;W;I;7,5;o;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;9;8;1;1;;9943/22;8800000;1309,719;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;8800000;
01658;Hirschstetten;169;1220;Varnhagengasse;8;223/4;640;Kaufvertrag;25.08.2021;W;II;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;Mietwohnhaus voll/tw. vermietet;3;J;8;8;1;1;1903;6060/21;1800000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;1800000;
01613;Leopoldau;3650;1210;Adolf-Loos-Gasse;29;2255/99;1059;Kaufvertrag;14.03.2106;W;I;7,5;o gk;;FALSCH;FALSCH;FALSCH;FALSCH;;Ein-, Zweifamilienhaus;1;J;9;9;1;1;1973;3057/2016;260000;;0;0;0;0;0;0;FALSCH;100;WAHR;31.12.2031;3244;FALSCH;;;260000;
01613;Leopoldau;1925;1210;Gerlosplatz;8;2267/39;1170;Kaufvertrag;08.09.2020;W;I;6,5;o gk;;FALSCH;FALSCH;FALSCH;FALSCH;;Abbruchobjekt;;J;9;9;1;1;;;100000;85,47009;0;0;0;0;0;0;FALSCH;100;WAHR;31.12.2017;1883;FALSCH;;;100000;
01803;Inzersdorf;3292;1230;Zellwekergasse;16;1620/23;776;GRA Beschluss;13.01.2020;W;I;6,5;o;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;J;1;9;1;1;;;390000;502,5773;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;390000;
01660;Kagran;1430;1220;Anisgasse;72-74;482/40;1233;Kaufvertrag;02.01.2020;W;I;6,5;o gk;150 m²;FALSCH;FALSCH;FALSCH;FALSCH;;Abbruchobjekt;;J;9;8;1;1;;965/20;720000;583,9416;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;720000;
01201;Auhof;2115;1130;Steinklammergasse;3;1920;919;Kaufvertrag;16.03.2020;W;I;6,5;o;;FALSCH;FALSCH;FALSCH;FALSCH;;Ein-, Zweifamilienhaus;;J;9;9;1;1;1995;710/20;2150000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;2150000;
01302;Fünfhaus;1210;1150;Pilgerimgasse;5;.757;440;Kaufvertrag;04.02.2020;W;III;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;Mietwohnhaus voll/tw. vermietet;5;J;8;8;1;1;;1456/20;2400000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;2400000;
01206;Hütteldorf;2781;1140;Pappelstraße;13;1538;524;Kaufvertrag;26.02.2020;W;I;7,5;o gk;;FALSCH;FALSCH;FALSCH;FALSCH;;Ein-, Zweifamilienhaus;;J;9;9;1;1;;1487/20;895000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;895000;
01606;Groß Jedlersdorf I;1173;1210;Gerasdorfer Straße;105;511/7;1;MA 64-Bescheid;01.04.2020;W;III;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;8;1;1;;;675;675;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;675;
01606;Groß Jedlersdorf I;4728;1210;Gerasdorfer Straße;105;511/7;283;MA 64-Bescheid;01.04.2020;W;II;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;8;1;1;;;104710;370;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;104710;
01305;Meidling;430;1120;Rotenmühlgasse;29;.31;43;MA 64-Bescheid;08.01.2020;W;III;13,5;g;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;J;8;1;1;1;;;107500;2500;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;107500;
01657;Leopoldstadt;706;1020;Franzensbrückenstraße;9;3992/2;2;MA 64-Bescheid;13.01.2020;GB;IV;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;8;1;1;;;3600;1800;0;0;0;0;0;0;FALSCH;50;FALSCH;;;FALSCH;GB3g;50;3600;
01613;Leopoldau;3735;1210;Pulkaugasse;16;2229/73;1210;Kaufvertrag;09.01.2020;W;I;6,5;o gk;;FALSCH;FALSCH;FALSCH;FALSCH;;Abbruchobjekt;2;J;9;9;1;1;1950;;220000;181,8182;0;0;0;0;0;0;FALSCH;100;WAHR;31.12.2015;3707;FALSCH;;;220000;
01207;Lainz;44;1130;Hofwiesengasse;12;103/1;11;Magistratsbeschluss;10.01.2020;W;III;13,5;g;GV;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;8;1;1;;;24640;2240;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;24640;
01301;Altmannsdorf;171;1120;Breitenfurter Straße;6-20;438/5;3;Magistratsbeschluss;08.01.2020;GB;III;;g;GV;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;J;1;8;1;1;;;5400;1800;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;5400;
01103;Kaiserebersdorf;2869;1110;Sofie -Lazarsfeld - Straße;;2080/1;6532;Kaufvertrag;15.01.2020;GB;IV;;g;BG;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;J;5;9;1;1;;;1267208;194;0;0;0;0;0;0;FALSCH;80;FALSCH;;;FALSCH;Gb II g;20;1267208;
01304;Hetzendorf;1228;1120;Benyastraße;19;613;233;MA 64-Bescheid;30.01.2020;GB;I;7,5;g;BG;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;9;1;1;;;46600;200;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;46600;
01213;Speising;1096;1130;Furtwänglerplatz;50;440/13;26;Magistratsbeschluss;21.01.2020;W;I;6,5;o;200 m²;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;8;1;1;;;20020;770;0;0;0;0;0;0;FALSCH;50;FALSCH;;;FALSCH;WI 7,5 o;50;20020;
01603;Donaufeld;773;1210;Baumberggasse;;1404/7;177;GR Beschluss;13.01.2020;GS;;;;150 m²;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;8;1;1;;;100005;565;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;100005;
01613;Leopoldau;5362;1210;Wagramer Straße;241;2524/3;174;Magistratsbeschluss;22.01.2020;GB;I;;g;BG, 50%;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;8;1;1;;;33060;190;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;33060;
01660;Kagran;2423;1220;Fiebrichgasse;8;2711;187;GRA Beschluss;13.01.2020;W;I;7,5;o gk;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;J;1;9;1;1;;;187000;1000;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;187000;
01668;Süßenbrunn;145;1220;Spindlerweg;5;403;31;MA 64-Bescheid;04.02.2020;GB;I;4,5;g;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;J;8;1;1;1;;;46500;1500;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;46500;
01651;Aspern;271;1220;Groß-Enzersdorfer Straße;56-58;674/10;1151;MA 64-Bescheid;03.02.2020;GB;IV;18,0;g;GV;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;3;1;1;;;1266100;1100;0;0;0;0;0;0;FALSCH;20;FALSCH;;;FALSCH;GB2g;80;1266100;
01107;Simmering;328;1110;Hallergasse;8 -8A;1668/3;146;MA 64-Bescheid;29.01.2020;GB;I;7,5;g;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;8;1;1;;;57720;395,3425;0;0;0;0;0;0;FALSCH;60;FALSCH;;;FALSCH;VB;40;57720;
01613;Leopoldau;5362;1210;Wagramer Straße;241;2519/3;106;MA 64-Bescheid;06.02.2020;GB;I;;g;BG;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;8;1;1;;;20140;190;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;20140;
01665;Stadlau;2185;1220;Kleine-Bucht-Straße;24;488/83;257;Kaufvertrag;09.01.2020;GS;;;;80 m²;FALSCH;FALSCH;FALSCH;FALSCH;;Abbruchobjekt;;J;9;9;1;1;;384/20;428000;1665,37;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;428000;
01651;Aspern;5917;1220;Margeritenweg;4A/69;598/57;434;Kaufvertrag;02.01.2020;Eklw;;;;;FALSCH;FALSCH;FALSCH;FALSCH;;Ein-, Zweifamilienhaus;;J;9;9;1;1;;133/20;450000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;450000;
01603;Donaufeld;773;1210;Baumberggasse;;1404/14;236;GR Beschluss;13.01.2020;GS;;;;150 m²;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;8;1;1;;;133340;565;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;133340;
01401;Dornbach;3184;1170;Schrammelgasse;67;525/33;10;MA 64-Bescheid;21.02.2020;GS;;;;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;9;1;1;;;5700;570;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;5700;
01613;Leopoldau;4210;1210;Pastorstraße;28;2243/46;898;Kaufvertrag;18.02.2020;GB;I;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;Abbruchobjekt;;J;9;8;1;1;;1778/20;2000000;2227,171;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;2000000;
01207;Lainz;44;1130;Hofwiesengasse;12;106/1;601;MA 64-Bescheid;11.02.2020;W;III;13;g;GV;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;8;1;1;;;1346240;2240;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;1346240;
01603;Donaufeld;791;1210;Leopoldauer Straße;87;1406/4;17;MA 64-Bescheid;21.02.2020;GS;;;;150 m²;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;9;1;1;;;9605;565;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;9605;
01202;Breitensee;8;1140;Breitenseer Straße;47;8/1;62;MA 64-Bescheid;18.02.2020;W;III;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;8;1;1;;;119908;1934;0;0;0;0;0;0;FALSCH;30;FALSCH;;;FALSCH;W4g;70;119908;
01210;Penzing;1313;1140;Matznergasse;27;606/66;424;Kaufvertrag;29.01.2020;W;III;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;Mietwohnhaus voll/tw. vermietet;;J;8;8;1;1;;601/20;2450000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;2450000;
01206;Hütteldorf;3404;1140;Flötzersteig;;552/5;241;Kaufvertrag;09.01.2020;W;I;7,5;o gk;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;8;9;1;1;;235/20;9600;39,83403;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;9600;
01660;Kagran;1630;1220;Raffenstättergasse;;654/5;30;MA 64-Bescheid;24.02.2020;W;IV;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;13;3;1;1;;;37500;1250;0;0;0;0;0;0;FALSCH;30;FALSCH;;;FALSCH;"W1g
W2
W3g";"10
30
30";37500;
01613;Leopoldau;20;1210;An der Schanze;;1359/3;14;MA 64-Bescheid;20.02.2020;W;III;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;13;6;1;1;;;20300;1450;0;0;0;0;0;0;FALSCH;80;FALSCH;;;FALSCH;"W5 21mg
W2 9,5g";"10
10";20300;
01613;Leopoldau;20;1210;An der Schanze;;1359/3;2;MA 64-Bescheid;20.02.2020;W;III;;g;;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;13;6;1;1;;;4860;2430;0;0;0;0;0;0;FALSCH;70;FALSCH;;;FALSCH;"W4g
WI 7,5g
W2g";"15
10
5";4860;
01105;Oberlaa Stadt;20;1100;Kurbadstraße;8;1924/3;21;Magistratsbeschluss;28.02.2020;GB;VI;50-55;g;EKZ;FALSCH;FALSCH;FALSCH;FALSCH;;unbebaut;;N;1;8;1;1;;;25830;1230;0;0;0;0;0;0;FALSCH;40;FALSCH;;;FALSCH;Gb  III g;60;25830;
01102;Inzersdorf Stadt;544;1100;Laxenburger Straße;109;843/9;381;Kaufvertrag;29.01.2020;W;IV;18,0;g;;FALSCH;FALSCH;FALSCH;FALSCH;;Mietwohnhaus voll/tw. vermietet;5;J;9;8;1;1;1940;515/2020;1950000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;1950000;
01613;Leopoldau;7294;1210;Wacholderweg;32A;2071/44;284;Kaufvertrag;15.01.2020;W;I;6,5;o gk;;FALSCH;FALSCH;FALSCH;FALSCH;;Ein-, Zweifamilienhaus;;J;8;9;1;1;2020;605/20;659000;;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;659000;
01607;Groß Jedlersdorf II;6768;1210;Hopfengasse;63/48;993/51;319;Kaufvertrag;27.01.2020;Eklw;;;;;FALSCH;FALSCH;FALSCH;FALSCH;;Abbruchobjekt;;J;9;9;1;1;;422/20;150000;470,2194;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;150000;
01616;Stammersdorf;733;1210;Senderstraße;nach 54;2011;3744;Kaufvertrag;10.02.2020;SwwL;;;;tw. Schutzzone;FALSCH;FALSCH;FALSCH;FALSCH;;Weingarten;;;9;9;1;1;;580/20;100000;26,7094;0;0;0;0;0;0;FALSCH;100;FALSCH;;;FALSCH;;;100000;
